ID,Original Sentence,Generated Sentence,Substituted Sentence,Query Count,Attack Success
238,"by the end , you just don't care whether that cold-hearted snake petrovich ( that would be reno ) gets his comeuppance . just bring on the battle bots , please !","by the end , you just don't care whether that cold-hearted snake petrovich ( that would be reno ) gets his comeuppance . just bring on the battle bots , kindly !","by the end , you just don't care whether that cold-hearted snake petrovich ( that would be reno ) gets his comeuppance . just bring on the battle bots , kindly !",295,True
239,has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be .,has enough gun battles and throwaway humor to coverings up the yawning chasm where the plot should be .,has enough gun battles and throwaway humor to coverings up the yawning chasm where the plot should be .,9,True
240,"there is a real subject here , and it is handled with intelligence and care .","there is a real subject here , and it is mistreating with intelligence and care .","there is a real subject here , and it is mistreating with intelligence and care .",9,True
241,"such a premise is ripe for all manner of lunacy , but kaufman and gondry rarely seem sure of where it should go .","such a premise is ripe for all manner of lunacy , but kaufman and gondry unusually seem sure of where it should go .","such a premise is ripe for all manner of lunacy , but kaufman and gondry unusually seem sure of where it should go .",482,True
242,"unpretentious , charming , quirky , original","unpretentious , charmer , quirky , original","unpretentious , charmer , quirky , original",3,True
243,an animation landmark as monumental as disney's 1937 breakthrough snow white and the seven dwarfs .,an animation apogee as monumental as disney's 1937 breakthrough snow white and the seven dwarfs .,an animation apogee as monumental as disney's 1937 breakthrough snow white and the seven dwarfs .,72,True
244,spy kids 2 also happens to be that rarity among sequels : it actually improves upon the original hit movie .,---,---,0,False
245,this slender plot feels especially thin stretched over the nearly 80-minute running time .,this slender plot appreciates especially thin stretched over the nearly 80-minute running time .,this slender plot appreciates especially thin stretched over the nearly 80-minute running time .,283,True
246,"little more than a stylish exercise in revisionism whose point . . . is no doubt true , but serves as a rather thin moral to such a knowing fable .","little more than a stylish exercise in revisionism whose point . . . is no doubt true , but serves as a rather thin beneficial to such a knowing fable .","little more than a stylish exercise in revisionism whose point . . . is no doubt true , but serves as a rather thin beneficial to such a knowing fable .",217,True
247,"the punch lines that miss , unfortunately , outnumber the hits by three-to-one . but death to smoochy keeps firing until the bitter end .","the punch lines that miss , unfortunately , outnumber the hits by three-to-one . but death to smoochy keeps firing until the bitter end .","the punch lines that miss , unfortunately , outnumber the hits by three-to-one . but death to smoochy keeps firing until the bitter end .",589,True
248,"it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a sappy , preachy one at that .","it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a heartfelt , preachy one at that .","it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a heartfelt , preachy one at that .",198,True
249,"an inuit masterpiece that will give you goosebumps as its uncanny tale of love , communal discord , and justice unfolds .","an inuit masterpiece that will give you goosebumps as its uncanny tale of love , communal discord , and justice unfolds .","an inuit masterpiece that will give you goosebumps as its uncanny tale of love , communal discord , and justice unfolds .",539,True
250,"it shares the first two films' loose-jointed structure , but laugh-out-loud bits are few and far between .","it shares the first two films' loose-jointed structure , but laugh-out-loud bits are plenty and far between .","it shares the first two films' loose-jointed structure , but laugh-out-loud bits are plenty and far between .",404,True
251,both a detective story and a romance spiced with the intrigue of academic skullduggery and politics .,both a detective story and a romance mulled with the intrigue of academic skullduggery and politics .,both a detective story and a romance mulled with the intrigue of academic skullduggery and politics .,59,True
252,disappointing in comparison to other recent war moviesor any other john woo flick for that matter .,disappointing in comparison to other recent war movies or any other john woo flick for that matter .,disappointing in comparison to other recent war movies or any other john woo flick for that matter .,539,True
253,the charms of the lead performances allow us to forget most of the film's problems .,the baubles of the lead performances allow us to forget most of the film's problems .,the baubles of the lead performances allow us to forget most of the film's problems .,56,True
254,a sha-na-na sketch punctuated with graphic violence .,a sha-na-na portrait punctuated with graphic violence .,a sha-na-na portrait punctuated with graphic violence .,73,True
255,"with "" ichi the killer "" , takashi miike , japan's wildest filmmaker gives us a crime fighter carrying more emotional baggage than batman . . .","with "" ichi the killer "" , takashi miike , japan's wildest filmmaker gives us a crime fighter carrying more emotional baggage than batman . . .","with "" ichi the killer "" , takashi miike , japan's wildest filmmaker gives us a crime fighter carrying more emotional baggage than batman . . .",836,True
256,"the smash 'em-up , crash 'em-up , shoot 'em-up ending comes out of nowhere substituting mayhem for suspense .","the smash 'em-up , crash 'em-up , shoot 'em-up ending comes out of nowhere substituting mayhem for suspense .","the smash 'em-up , crash 'em-up , shoot 'em-up ending comes out of nowhere substituting mayhem for suspense .",491,True
257,swiftly deteriorates into a terribly obvious melodrama and rough-hewn vanity project for lead actress andie macdowell .,swiftly deteriorates into a terribly obvious melodrama and rough-hewn vanity project for lead actress andie macdowell .,swiftly deteriorates into a terribly obvious melodrama and rough-hewn vanity project for lead actress andie macdowell .,590,True
258,an older cad instructs a younger lad in zen and the art of getting laid in this prickly indie comedy of manners and misanthropy .,an older cad instructs a younger blokes in zen and the art of getting laid in this prickly indie comedy of manners and misanthropy .,an older cad instructs a younger blokes in zen and the art of getting laid in this prickly indie comedy of manners and misanthropy .,39,True
259,"the beautiful , unusual music is this film's chief draw , but its dreaminess may lull you to sleep .",---,---,0,False
260,"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they won't enjoy the movie at all .","adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they will enjoy the movie at all .","adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they will enjoy the movie at all .",100,True
261,"a remarkable movie with an unsatisfying ending , which is just the point .","a astounding movie with an unsatisfying ending , which is just the point .","a astounding movie with an unsatisfying ending , which is just the point .",2,True
262,"grown-up quibbles are beside the point here . the little girls understand , and mccracken knows that's all that matters .","grown-up quibbles are beside the point here . the little girls comprends , and mccracken knows that's all that matters .","grown-up quibbles are beside the point here . the little girls comprends , and mccracken knows that's all that matters .",50,True
263,"franco is an excellent choice for the walled-off but combustible hustler , but he does not give the transcendent performance sonny needs to overcome gaps in character development and story logic .","franco is an excellent choice for the walled-off but combustible hustler , but he does not give the transcendent performance sonny needed to overcome gaps in character development and story logic .","franco is an excellent choice for the walled-off but combustible hustler , but he does not give the transcendent performance sonny needed to overcome gaps in character development and story logic .",2,True
264,one of the funnier movies in town .,one of the funnier videotapes in town .,one of the funnier videotapes in town .,22,True
265,this director's cut -- which adds 51 minutes -- takes a great film and turns it into a mundane soap opera .,---,---,0,False
266,a quirky comedy set in newfoundland that cleverly captures the dry wit that's so prevalent on the rock .,a quirky comedy set in newfoundland that cleverly captures the dry wit that's so prevalent on the rock .,a quirky comedy set in newfoundland that cleverly captures the dry wit that's so prevalent on the rock .,589,True
267,does what should seem impossible : it makes serial killer jeffrey dahmer boring .,does what should seem impossible : it makes serial killer jeffrey dahmer exciting .,does what should seem impossible : it makes serial killer jeffrey dahmer exciting .,25,True
268,"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , but , dude , the only thing that i ever saw that was written down were the zeroes on my paycheck .","some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , but , dude , the only thing that i ever saw that was written down were the zeroes on my paycheck .","some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , but , dude , the only thing that i ever saw that was written down were the zeroes on my paycheck .",1226,True
269,waydowntown manages to nail the spirit-crushing ennui of denuded urban living without giving in to it .,waydowntown manage to nail the spirit-crushing ennui of denuded urban living without giving in to it .,waydowntown manage to nail the spirit-crushing ennui of denuded urban living without giving in to it .,50,True
270,"certainly not a good movie , but it wasn't horrible either .","certainly not a good movie , but it wasn't painful either .","certainly not a good movie , but it wasn't painful either .",165,True
271,an engrossing iranian film about two itinerant teachers and some lost and desolate people they encounter in a place where war has savaged the lives and liberties of the poor and the dispossessed .,an unwinds iranian film about two itinerant teachers and some lost and desolate people they encounter in a place where war has savaged the lives and liberties of the poor and the dispossessed .,an unwinds iranian film about two itinerant teachers and some lost and desolate people they encounter in a place where war has savaged the lives and liberties of the poor and the dispossessed .,348,True
272,weighty and ponderous but every bit as filling as the treat of the title .,weighty and ponderous but every bits as filling as the treat of the title .,weighty and ponderous but every bits as filling as the treat of the title .,8,True
273,quietly engaging .,quietly nudged .,quietly nudged .,2,True
274,connoisseurs of chinese film will be pleased to discover that tian's meticulous talent has not withered during his enforced hiatus .,connoisseurs of chinese film will be chuffed to discover that tian's meticulous talent has not withered during his enforced hiatus .,connoisseurs of chinese film will be chuffed to discover that tian's meticulous talent has not withered during his enforced hiatus .,600,True
275,movies like high crimes flog the dead horse of surprise as if it were an obligation . how about surprising us by trying something new ?,movies like high crimes flog the dead horse of surprise as if it were an obligation . how about amazed us by trying something new ?,movies like high crimes flog the dead horse of surprise as if it were an obligation . how about amazed us by trying something new ?,20,True
276,"director kevin bray excels in breaking glass and marking off the "" miami vice "" checklist of power boats , latin music and dog tracks . he doesn't , however , deliver nearly enough of the show's trademark style and flash .","director kevin bray excels in breaking shatter and marking off the "" miami vice "" checklist of power boats , latin music and dog tracks . he doesn't , however , deliver nearly enough of the show's trademark style and flash .","director kevin bray excels in breaking shatter and marking off the "" miami vice "" checklist of power boats , latin music and dog tracks . he doesn't , however , deliver nearly enough of the show's trademark style and flash .",5,True
277,a film with almost as many delights for adults as there are for children and dog lovers .,a film with hardly as many delights for adults as there are for children and dog lovers .,a film with hardly as many delights for adults as there are for children and dog lovers .,207,True
278,this seductive tease of a thriller gets the job done . it's a scorcher .,---,---,0,False
279,"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery .","the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery .","the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery .",539,True
280,"the film falls short on tension , eloquence , spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries .",---,---,0,False
281,an encouraging effort from mccrudden,---,---,0,False
282,"a fun family movie that's suitable for all ages -- a movie that will make you laugh , cry and realize , 'it's never too late to believe in your dreams . '","a fun family movie that's suitable for all ages -- a movie that will make you laugh , cry and realize , 'it's never too late to believe in your dreams . '","a fun family movie that's suitable for all ages -- a movie that will make you laugh , cry and realize , 'it's never too late to believe in your dreams . '",835,True
283,rashomon-for-dipsticks tale .,rashomon-for-dipsticks storytelling .,rashomon-for-dipsticks storytelling .,6,True
284,generates an enormous feeling of empathy for its characters .,generates an enormous dullness of empathy for its characters .,generates an enormous dullness of empathy for its characters .,230,True
285,"enormously enjoyable , high-adrenaline documentary .","enormously unpleasant , high-adrenaline documentary .","enormously unpleasant , high-adrenaline documentary .",135,True
286,"tends to pile too many "" serious issues "" on its plate at times , yet remains fairly light , always entertaining , and smartly written .","tends to pile too many "" serious issues "" on its plate at times , yet remains fairly light , always entertaining , and outsmart written .","tends to pile too many "" serious issues "" on its plate at times , yet remains fairly light , always entertaining , and outsmart written .",50,True
287,a remarkable film by bernard rose .,a extraordinaire film by bernard rose .,a extraordinaire film by bernard rose .,101,True
288,"the movie obviously seeks to re-create the excitement of such '50s flicks as jules verne's '20 , 000 leagues under the sea' and the george pal version of h . g . wells' 'the time machine . ' but its storytelling prowess and special effects are both listless .","the movie obviously seeks to re-create the excitement of such '50s flicks as jules verne's '20 , 000 leagues under the sea' and the george pal version of h . g . wells' 'the time machine . ' but its storytelling prowess and special effects are both lethargic .","the movie obviously seeks to re-create the excitement of such '50s flicks as jules verne's '20 , 000 leagues under the sea' and the george pal version of h . g . wells' 'the time machine . ' but its storytelling prowess and special effects are both lethargic .",100,True
289,"max pokes , provokes , takes expressionistic license and hits a nerve . . . as far as art is concerned , it's mission accomplished .","max pokes , provokes , takes expressionistic license and hits a nerve . . . as far as art is concerned , it's stinkin accomplished .","max pokes , provokes , takes expressionistic license and hits a nerve . . . as far as art is concerned , it's stinkin accomplished .",270,True
290,"the first mistake , i suspect , is casting shatner as a legendary professor and kunis as a brilliant college student--where's pauly shore as the rocket scientist ?","the first mistake , i suspect , is casting shatner as a legendary professor and kunis as a brilliant college student--where's pauly shore as the rocket scientist ?","the first mistake , i suspect , is casting shatner as a legendary professor and kunis as a brilliant college student--where's pauly shore as the rocket scientist ?",835,True
291,"cherry orchard is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a 'back story . '","cherry orchard is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a 'back story . '","cherry orchard is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a 'back story . '",933,True
292,"works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .",---,---,0,False
293,"intensely romantic , thought-provoking and even an engaging mystery .","misapprehension romantic , thought-provoking and even an engaging mystery .","misapprehension romantic , thought-provoking and even an engaging mystery .",125,True
294,"not once in the rush to save the day did i become very involved in the proceedings ; to me , it was just a matter of 'eh . '","not once in the rush to save the day did i become very involved in the proceedings ; to me , it was great a matter of 'eh . '","not once in the rush to save the day did i become very involved in the proceedings ; to me , it was great a matter of 'eh . '",27,True
295,"this chicago has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare .","this chicago has shitless imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare .","this chicago has shitless imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare .",239,True
296,a realistically terrifying movie that puts another notch in the belt of the long list of renegade-cop tales .,a unrealistic terrifying movie that puts another notch in the belt of the long list of renegade-cop tales .,a unrealistic terrifying movie that puts another notch in the belt of the long list of renegade-cop tales .,163,True
297,. . . a rather bland affair .,. . . a rather atrocious affair .,. . . a rather atrocious affair .,17,True
298,a well-rounded tribute to a man whose achievements -- and complexities -- reached far beyond the end zone .,a well-rounded tribute to a man whose achievements -- and complexities -- reached far beyond the end zone .,a well-rounded tribute to a man whose achievements -- and complexities -- reached far beyond the end zone .,442,True
299,"a vivid , spicy footnote to history , and a movie that grips and holds you in rapt attention from start to finish .","a vivid , bland footnote to history , and a movie that grips and holds you in rapt attention from start to finish .","a vivid , bland footnote to history , and a movie that grips and holds you in rapt attention from start to finish .",361,True
300,a period story about a catholic boy who tries to help a jewish friend get into heaven by sending the audience straight to hell .,---,---,0,False
301,"it should be interesting , it should be poignant , it turns out to be affected and boring .","it should be interesting , it should be poignant , it turns out to be affected and blah .","it should be interesting , it should be poignant , it turns out to be affected and blah .",5,True
302,the premise itself is just sooooo tired . pair that with really poor comedic writing . . . and you've got a huge mess .,the premise itself is just sooooo tired . pair that with really poor comedic writing . . . and you've got a huge mess .,the premise itself is just sooooo tired . pair that with really poor comedic writing . . . and you've got a huge mess .,688,True
303,"quando tiros em columbine acerta o alvo ( com o perdão do trocadilho ) , não há como negar o brilhantismo da argumentação de seu diretor .","quando tiros em columbine acerta o alvo ( com o perdão do trocadilho ) , não há como negar o redbrick da argumentação de seu diretor .","quando tiros em columbine acerta o alvo ( com o perdão do trocadilho ) , não há como negar o redbrick da argumentação de seu diretor .",46,True
304,your children will be occupied for 72 minutes .,your kids will be occupied for 72 minutes .,your kids will be occupied for 72 minutes .,2,True
305,poignant if familiar story of a young person suspended between two cultures .,poignant if familiar cliched of a young person suspended between two cultures .,poignant if familiar cliched of a young person suspended between two cultures .,41,True
306,"a heady , biting , be-bop ride through nighttime manhattan , a loquacious videologue of the modern male and the lengths to which he'll go to weave a protective cocoon around his own ego .","a heady , biting , be-bop ride through nighttime manhattan , a loquacious videologue of the modern male and the lengths to which he'll go to weave a protective cocoon around his own ego .","a heady , biting , be-bop ride through nighttime manhattan , a loquacious videologue of the modern male and the lengths to which he'll go to weave a protective cocoon around his own ego .",886,True
307,"everything its title implies , a standard-issue crime drama spat out from the tinseltown assembly line .","everything its title implies , a standard-issue crime drama roared out from the tinseltown assembly line .","everything its title implies , a standard-issue crime drama roared out from the tinseltown assembly line .",304,True
308,"the film is a blunt indictment , part of a perhaps surreal campaign to bring kissinger to trial for crimes against humanity .","the film is a blunt indictment , part of a perhaps trippy campaign to bring kissinger to trial for crimes against humanity .","the film is a blunt indictment , part of a perhaps trippy campaign to bring kissinger to trial for crimes against humanity .",110,True
309,a quasi-documentary by french filmmaker karim dridi that celebrates the hardy spirit of cuban music .,a quasi-documentary by french filmmaker karim dridi that spoilsport the hardy spirit of cuban music .,a quasi-documentary by french filmmaker karim dridi that spoilsport the hardy spirit of cuban music .,383,True
310,"[shyamalan] continues to cut a swathe through mainstream hollywood , while retaining an integrity and refusing to compromise his vision .","[shyamalan] continues to cut a swathe through mainstream hollywood , while flimsy an integrity and refusing to compromise his vision .","[shyamalan] continues to cut a swathe through mainstream hollywood , while flimsy an integrity and refusing to compromise his vision .",125,True
311,sade achieves the near-impossible : it turns the marquis de sade into a dullard .,sade achieves the near-impossible : it turns the marquis de sade into a mystifying .,sade achieves the near-impossible : it turns the marquis de sade into a mystifying .,64,True
312,"the movie isn't painfully bad , something to be 'fully experienced' ; it's just tediously bad , something to be fully forgotten .","the movie isn't painfully bad , something to be 'fully experienced' ; it's just tediously bad , something to be fully forgotten .","the movie isn't painfully bad , something to be 'fully experienced' ; it's just tediously bad , something to be fully forgotten .",789,True
313,"special p . o . v . camera mounts on bikes , skateboards , and motorcycles provide an intense experience when splashed across the immense imax screen .","special p . o . v . camera mounts on bikes , skateboards , and motorcycles provide an intense experience when splashed across the immense imax screen .","special p . o . v . camera mounts on bikes , skateboards , and motorcycles provide an intense experience when splashed across the immense imax screen .",785,True
314,you can tell almost immediately that welcome to collinwood isn't going to jell .,you can tell almost instantaneously that welcome to collinwood isn't going to jell .,you can tell almost instantaneously that welcome to collinwood isn't going to jell .,7,True
315,"further sad evidence that tom tykwer , director of the resonant and sense-spinning run lola run , has turned out to be a one-trick pony -- a maker of softheaded metaphysical claptrap .","further sad evidence that tom tykwer , director of the resonant and sense-spinning run lola run , has turned out to be a one-trick pony -- a maker of softheaded metaphysical claptrap .","further sad evidence that tom tykwer , director of the resonant and sense-spinning run lola run , has turned out to be a one-trick pony -- a maker of softheaded metaphysical claptrap .",984,True
316,"a brutal and funny work . nicole holofcenter , the insightful writer/director responsible for this illuminating comedy doesn't wrap the proceedings up neatly but the ideas tie together beautifully .","a brutal and funny work . nicole holofcenter , the insightful writer/director responsible for this illuminating comedy doesn't wrap the proceedings up neatly but the ideas tie together beautifully .","a brutal and funny work . nicole holofcenter , the insightful writer/director responsible for this illuminating comedy doesn't wrap the proceedings up neatly but the ideas tie together beautifully .",885,True
317,"[lin chung's] voice is rather unexceptional , even irritating ( at least to this western ear ) , making it awfully hard to buy the impetus for the complicated love triangle that develops between the three central characters .","[lin chung's] voice is rather unexceptional , even irritating ( at least to this western ear ) , making it awfully hard to buy the impetus for the complicated love triangle that develops between the three central characters .","[lin chung's] voice is rather unexceptional , even irritating ( at least to this western ear ) , making it awfully hard to buy the impetus for the complicated love triangle that develops between the three central characters .",1081,True
318,a sensitive and astute first feature by anne-sophie birot .,a oversensitive and astute first feature by anne-sophie birot .,a oversensitive and astute first feature by anne-sophie birot .,51,True
319,demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .,demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .,demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .,393,True
320,i have a new favorite musical -- and i'm not even a fan of the genre,---,---,0,False
321,done in mostly by a weak script that can't support the epic treatment .,done in mostly by a weak script that can't support the epic treatment .,done in mostly by a weak script that can't support the epic treatment .,393,True
322,wonder of wonders -- a teen movie with a humanistic message .,wonder of wonders -- a teen movie with a blithe message .,wonder of wonders -- a teen movie with a blithe message .,80,True
323,"the obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack overwhelm what is left of the scruffy , dopey old hanna-barbera charm .","the obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack overwhelm what is left of the scruffy , dopey old hanna-barbera charm .","the obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack overwhelm what is left of the scruffy , dopey old hanna-barbera charm .",933,True
324,"filled with low-brow humor , gratuitous violence and a disturbing disregard for life .",---,---,0,False
325,goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .,feebles is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .,feebles is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .,119,True
326,ramsay and morton fill this character study with poetic force and buoyant feeling .,ramsay and morton shelved this character study with poetic force and buoyant feeling .,ramsay and morton shelved this character study with poetic force and buoyant feeling .,324,True
327,"in imax in short , it's just as wonderful on the big screen .","in imax in short , it's merely as wonderful on the big screen .","in imax in short , it's merely as wonderful on the big screen .",102,True
328,this submarine drama earns the right to be favorably compared to das boot .,this submarine drama earns the right to be unfavorable compared to das boot .,this submarine drama earns the right to be unfavorable compared to das boot .,13,True
329,"attal pushes too hard to make this a comedy or serious drama . he seems to want both , but succeeds in making neither .","attal pushes too hard to make this a comedy or serious drama . he seems to want both , but perseverance in making neither .","attal pushes too hard to make this a comedy or serious drama . he seems to want both , but perseverance in making neither .",213,True
330,the spalding gray equivalent of a teen gross-out comedy .,the spalding gray equivalent of a teen gross-out comedy .,the spalding gray equivalent of a teen gross-out comedy .,295,True
331,the attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show .,the attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show .,the attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show .,686,True
332,"reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for things to happen .",---,---,0,False
333,"a huge box-office hit in korea , shiri is a must for genre fans .","a huge box-office hit in korea , shiri arent a must for genre fans .","a huge box-office hit in korea , shiri arent a must for genre fans .",11,True
334,"fred schepisi's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen . with a cast of a-list brit actors , it is worth searching out .","fred schepisi's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen . with a cast of a-list brit actors , it isnt worth searching out .","fred schepisi's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen . with a cast of a-list brit actors , it isnt worth searching out .",593,True
335,humor in i spy is so anemic .,humor in i spy is well anemic .,humor in i spy is well anemic .,58,True
336,"stripped almost entirely of such tools as nudity , profanity and violence , labute does manage to make a few points about modern man and his problematic quest for human connection .","stripped almost entirely of such tools as nudity , profanity and violence , labute does manage to make a few points about modern man and his problematic quest for human login .","stripped almost entirely of such tools as nudity , profanity and violence , labute does manage to make a few points about modern man and his problematic quest for human login .",5,True
337,"the film has too many spots where it's on slippery footing , but is acceptable entertainment for the entire family and one that's especially fit for the kiddies .",---,---,0,False
338,"at a brief 42 minutes , we need more x and less blab .","at a brief 42 minutes , we need more x and less blab .","at a brief 42 minutes , we need more x and less blab .",343,True
339,"a mediocre exercise in target demographics , unaware that it's the butt of its own joke .","a decent exercise in target demographics , unaware that it's the butt of its own joke .","a decent exercise in target demographics , unaware that it's the butt of its own joke .",409,True
340,"it's an unusual , thoughtful bio-drama with a rich subject and some fantastic moments and scenes .","it's an unusual , thoughtful bio-drama with a rich subject and some fantastic moments and scenes .","it's an unusual , thoughtful bio-drama with a rich subject and some fantastic moments and scenes .",443,True
341,"woody , what happened ?","woody , what happened ?","woody , what happened ?",98,True
342,"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .","its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer isnt likely to find compelling .","its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer isnt likely to find compelling .",104,True
343,"hopelessly inane , humorless and under-inspired .","hopelessly inane , humorless and under-inspired .","hopelessly inane , humorless and under-inspired .",197,True
344,"any intellectual arguments being made about the nature of god are framed in a drama so clumsy , there is a real danger less sophisticated audiences will mistake it for an endorsement of the very things that bean abhors .","any intellectual arguments being made about the nature of god are framed in a drama so singularly , there is a real danger less sophisticated audiences will mistake it for an endorsement of the very things that bean abhors .","any intellectual arguments being made about the nature of god are framed in a drama so singularly , there is a real danger less sophisticated audiences will mistake it for an endorsement of the very things that bean abhors .",888,True
345,"lacks the spirit of the previous two , and makes all those jokes about hos and even more unmentionable subjects seem like mere splashing around in the muck .","fearlessly the spirit of the previous two , and makes all those jokes about hos and even more unmentionable subjects seem like mere splashing around in the muck .","fearlessly the spirit of the previous two , and makes all those jokes about hos and even more unmentionable subjects seem like mere splashing around in the muck .",217,True
346,"ah , the travails of metropolitan life ! alas , another breathless movie about same !",---,---,0,False
347,an energetic and engaging film that never pretends to be something it isn't .,an energetic and engaging film that never pretends to be something it isn't .,an energetic and engaging film that never pretends to be something it isn't .,393,True
348,"tykwer's surface flash isn't just a poor fit with kieslowski's lyrical pessimism ; it completely contradicts everything kieslowski's work aspired to , including the condition of art .","tykwer's surface flash isn't just a poor fit with kieslowski's lyrical pessimism ; it completely contradicts everything kieslowski's work aspired to , including the condition of art .","tykwer's surface flash isn't just a poor fit with kieslowski's lyrical pessimism ; it completely contradicts everything kieslowski's work aspired to , including the condition of art .",935,True
349,""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",---,---,0,False
350,"the cast has a high time , but de broca has little enthusiasm for such antique pulp .","the cast has a high time , but de broca has peu enthusiasm for such antique pulp .","the cast has a high time , but de broca has peu enthusiasm for such antique pulp .",197,True
351,"like its title character , this nicholas nickleby finds itself in reduced circumstances -- and , also like its hero , it remains brightly optimistic , coming through in the end .","like its title character , this nicholas nickleby finds itself in reduced circumstances -- and , also like its hero , it remains brightly pessimist , coming through in the end .","like its title character , this nicholas nickleby finds itself in reduced circumstances -- and , also like its hero , it remains brightly pessimist , coming through in the end .",54,True
352,i'd rather watch a rerun of the powerpuff girls,---,---,0,False
353,"this is one of mr . chabrol's subtlest works , but also one of his most uncanny .","this is one of mr . chabrol's subtlest works , but also one of his most uncanny .","this is one of mr . chabrol's subtlest works , but also one of his most uncanny .",394,True
354,"though there's a clarity of purpose and even-handedness to the film's direction , the drama feels rigged and sluggish .","though there's a clarity of purpose and even-handedness to the film's direction , the drama feels rigged and smoothly .","though there's a clarity of purpose and even-handedness to the film's direction , the drama feels rigged and smoothly .",20,True
355,"skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults .","skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also faucet into the primal fears of young people trying to cope with the mysterious and brutal nature of adults .","skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also faucet into the primal fears of young people trying to cope with the mysterious and brutal nature of adults .",394,True
356,"ice age won't drop your jaw , but it will warm your heart , and i'm giving it a strong thumbs up .","ice age won't drop your jaw , but it will warm your heart , and i'm giving it a strong thumbs up .","ice age won't drop your jaw , but it will warm your heart , and i'm giving it a strong thumbs up .",590,True
357,"by turns gripping , amusing , tender and heart-wrenching , laissez-passer has all the earmarks of french cinema at its best .","by turns gripping , amusing , tender and heart-wrenching , laissez-passer has all the earmarks of french cinema at its best .","by turns gripping , amusing , tender and heart-wrenching , laissez-passer has all the earmarks of french cinema at its best .",541,True
358,"chen films the resolutely downbeat smokers only with every indulgent , indie trick in the book .","chen films the resolutely downbeat smokers only with every indulgent , indie trick in the heartiest .","chen films the resolutely downbeat smokers only with every indulgent , indie trick in the heartiest .",10,True
359,"this is a nervy , risky film , and villeneuve has inspired croze to give herself over completely to the tormented persona of bibi .","this is a nervy , risky film , and villeneuve has inspired croze to give herself over completely to the tarred persona of bibi .","this is a nervy , risky film , and villeneuve has inspired croze to give herself over completely to the tarred persona of bibi .",5,True
